Year,Bowler,Economy,TotalRuns,Overs,TotalBalls,TotalWickets,Sixes,Wides,NoBalls,DotBalls,BowledWickets,LbwWickets,HitWicketWickets,CaughtAndBowledWickets,StumpedWickets,raw_FIB,FIB
2016,A Zampa,6.764705882352941,115,17.0,102,12,5,5,0,35,1,1,0,0,2,2.1413882352941185,6.570424403186204
2017,P Negi,6.124352331606218,197,32.166666666666664,193,16,10,7,0,92,3,0,0,1,3,3.445857512953367,6.518905361711264
2017,Kuldeep Yadav,8.292682926829269,340,41.0,246,12,18,5,0,80,0,2,0,0,4,3.8342975609756094,7.354698611730283
2018,S Gopal,7.612903225806452,236,31.0,186,11,15,2,0,70,0,0,0,3,3,4.101800000000001,7.581227557505829
2015,A Mishra,7.717842323651452,310,40.166666666666664,241,9,11,9,0,85,2,2,0,0,3,4.106177178423236,6.6111094590424235
2025,MJ Santner,7.924050632911392,313,39.5,237,10,10,11,0,89,2,1,1,1,3,4.141274683544307,6.601560664755091
2020,RD Chahar,8.169811320754716,433,53.0,318,15,19,5,0,109,2,1,0,1,4,4.438832075471698,6.950796361611002
2019,S Lamichhane,9.130434782608695,210,23.0,138,8,13,0,0,47,0,2,0,1,2,4.617147826086956,7.611360413423437
2016,A Mishra,7.521739130434782,346,46.0,276,13,12,12,2,103,2,2,0,1,3,4.718789130434782,7.230813054743283
2017,S Nadeem,6.672897196261682,119,17.833333333333332,107,6,5,3,0,50,0,2,0,0,1,4.8102925233644855,6.501231501238473
2018,K Gowtham,7.8,312,40.0,240,11,9,4,0,94,4,0,0,1,2,4.8811725,6.529070117055699
2021,R Tewatia,9.18918918918919,340,37.0,222,8,16,7,0,57,1,0,0,0,3,4.91111891891892,7.565915585340723
2016,P Sahu,8.342857142857143,146,17.5,105,3,5,2,0,29,0,1,0,0,1,4.928145714285714,7.138202499887912
2023,YS Chahal,8.176656151419557,432,52.833333333333336,317,21,15,9,0,106,2,3,0,0,3,4.9546873817034705,7.216771918778425
2018,A Mishra,7.135135135135135,264,37.0,222,12,10,5,0,78,3,0,0,0,2,5.091075675675675,6.927141899771657
2023,Ravi Bishnoi,7.782178217821782,393,50.5,303,16,16,9,2,104,1,3,0,1,3,5.147145544554453,7.487969590217743
2015,PP Chawla,7.685714285714286,269,35.0,210,11,11,7,0,70,3,1,0,0,2,5.178445714285714,7.11670243450103
