Year,Bowler,Economy,TotalRuns,Overs,TotalBalls,TotalWickets,Sixes,Wides,NoBalls,DotBalls,BowledWickets,LbwWickets,HitWicketWickets,CaughtAndBowledWickets,StumpedWickets,next_year_economy
2009,M Muralitharan,5.22,261,50.0,300,14,0.15,0.08695652173913043,0.0,154,0.1875,0.6666666666666666,0.0,0.0,0.4,6.965753424657534
2009,JP Duminy,5.314285714285714,93,17.5,105,4,0.075,0.15217391304347827,0.0,49,0.0,0.0,0.0,0.0,0.2,
2020,Rashid Khan,5.335051546391752,345,64.66666666666667,388,20,0.25,0.15217391304347827,0.0,174,0.3125,0.6666666666666666,0.0,0.25,0.2,6.666666666666667
2012,L Balaji,5.4,162,30.0,180,11,0.075,0.2391304347826087,0.0,99,0.1875,0.0,0.0,0.0,0.0,7.74
2011,R Sharma,5.46,273,50.0,300,16,0.15,0.043478260869565216,0.0,134,0.0625,0.8333333333333334,0.0,0.25,0.2,8.108108108108109
2013,SP Narine,5.46875,350,64.0,384,22,0.2,0.06521739130434782,0.0,186,0.125,0.5,0.0,0.75,0.4,6.461538461538462
2012,SP Narine,5.476056338028169,324,59.166666666666664,355,24,0.25,0.13043478260869565,0.0,171,0.375,0.16666666666666666,0.0,0.25,0.6,5.46875
2009,A Singh,5.485714285714286,96,17.5,105,9,0.05,0.043478260869565216,0.09090909090909091,61,0.125,0.16666666666666666,0.0,0.0,0.0,
2022,SP Narine,5.571428571428571,312,56.0,336,9,0.3,0.15217391304347827,0.0,148,0.125,0.3333333333333333,0.0,0.25,0.0,7.979166666666667
2013,DW Steyn,5.796610169491526,399,68.83333333333333,413,19,0.175,0.4782608695652174,0.0,231,0.5,0.16666666666666666,0.0,0.0,0.0,7.696428571428571
2009,B Lee,5.8,116,20.0,120,5,0.025,0.2826086956521739,0.45454545454545453,82,0.0625,0.0,0.0,0.0,0.0,
2009,Harbhajan Singh,5.818181818181818,256,44.0,264,12,0.15,0.08695652173913043,0.0,116,0.1875,0.0,0.0,0.25,0.6,7.065420560747664
2011,AG Murtaza,5.85,117,20.0,120,3,0.075,0.043478260869565216,0.0,60,0.0,0.0,0.0,0.0,0.0,
2009,A Kumble,5.864788732394366,347,59.166666666666664,355,21,0.2,0.15217391304347827,0.0,147,0.25,0.16666666666666666,0.0,0.0,0.2,6.505263157894737
2018,IS Sodhi,5.869565217391305,135,23.0,138,5,0.05,0.0,0.0,51,0.0,0.16666666666666666,0.0,0.0,0.0,
2015,R Ashwin,5.871794871794871,229,39.0,234,10,0.25,0.1956521739130435,0.09090909090909091,121,0.0625,0.0,0.0,0.0,0.4,7.25
2013,S Nadeem,5.886363636363637,259,44.0,264,9,0.15,0.08695652173913043,0.0,103,0.0625,0.0,0.0,1.0,0.2,8.210526315789474
2009,M Kartik,5.911764705882353,201,34.0,204,4,0.1,0.2608695652173913,0.0,88,0.0,0.0,0.0,0.0,0.0,6.512820512820513
2009,SK Raina,5.927710843373494,164,27.666666666666668,166,7,0.1,0.021739130434782608,0.0,63,0.0625,0.16666666666666666,0.0,0.0,0.0,7.468531468531469
2022,Mohsin Khan,5.96969696969697,197,33.0,198,14,0.125,0.2608695652173913,0.0,115,0.0625,0.0,0.0,0.0,0.0,
2020,Washington Sundar,5.98,299,50.0,300,8,0.2,0.043478260869565216,0.09090909090909091,116,0.125,0.0,0.0,0.0,0.0,
2011,SL Malinga,6.0,378,63.0,378,28,0.15,0.4782608695652174,0.2727272727272727,212,1.0,0.0,0.0,0.5,0.0,6.324324324324325
2018,L Ngidi,6.0,156,26.0,156,11,0.15,0.15217391304347827,0.0,86,0.125,0.0,0.0,0.25,0.0,
2011,DL Vettori,6.019354838709678,311,51.666666666666664,310,12,0.175,0.043478260869565216,0.0,125,0.0625,0.3333333333333333,0.0,0.0,0.2,6.742857142857143
2021,Harpreet Brar,6.043478260869565,139,23.0,138,5,0.125,0.10869565217391304,0.0,59,0.1875,0.0,0.0,0.0,0.0,
2011,Iqbal Abdulla,6.1,305,50.0,300,16,0.15,0.10869565217391304,0.0,143,0.125,0.3333333333333333,0.0,0.25,0.2,6.545454545454546
2011,YK Pathan,6.102564102564102,238,39.0,234,13,0.1,0.1956521739130435,0.0,106,0.125,0.3333333333333333,0.0,0.25,0.2,8.272727272727273
2010,R Ashwin,6.104166666666667,293,48.0,288,13,0.2,0.1956521739130435,0.0,141,0.1875,0.16666666666666666,0.0,0.0,0.6,6.158730158730159
2017,P Negi,6.124352331606218,197,32.166666666666664,193,16,0.25,0.15217391304347827,0.0,92,0.1875,0.0,0.0,0.25,0.6,
2012,DW Steyn,6.128571428571429,286,46.666666666666664,280,18,0.05,0.21739130434782608,0.09090909090909091,151,0.3125,0.3333333333333333,0.5,0.5,0.0,5.796610169491526
2014,AR Patel,6.136363636363637,405,66.0,396,17,0.225,0.2391304347826087,0.0,176,0.5,0.0,0.0,0.0,0.6,8.4
2011,R Ashwin,6.158730158730159,388,63.0,378,20,0.275,0.2608695652173913,0.0,171,0.3125,0.16666666666666666,0.0,0.25,0.2,6.5620253164556965
2021,A Nortje,6.164835164835165,187,30.333333333333332,182,12,0.05,0.2826086956521739,0.0,89,0.1875,0.16666666666666666,0.0,0.0,0.0,9.895522388059701
2017,Washington Sundar,6.166666666666667,185,30.0,180,8,0.15,0.043478260869565216,0.0,87,0.0625,0.16666666666666666,0.5,0.0,0.2,9.6
2012,WD Parnell,6.238095238095238,131,21.0,126,5,0.025,0.08695652173913043,0.2727272727272727,56,0.0,0.0,0.0,0.0,0.0,
2013,A Chandila,6.24,156,25.0,150,6,0.1,0.0,0.0,65,0.0,0.0,0.0,0.75,0.0,
2009,RR Powar,6.285714285714286,132,21.0,126,5,0.075,0.15217391304347827,0.0,58,0.125,0.0,0.0,0.0,0.2,7.0
2010,WPUJC Vaas,6.318181818181818,139,22.0,132,9,0.15,0.021739130434782608,0.0,69,0.1875,0.0,0.0,0.0,0.0,
2011,SK Warne,6.319148936170213,297,47.0,282,13,0.2,0.15217391304347827,0.0,122,0.0625,0.0,0.0,0.25,0.4,
2015,MC Henriques,6.32,158,25.0,150,11,0.05,0.15217391304347827,0.0,67,0.0,0.16666666666666666,0.0,0.0,0.0,7.980769230769231
2012,SL Malinga,6.324324324324325,351,55.5,333,22,0.125,0.41304347826086957,0.09090909090909091,165,0.4375,0.3333333333333333,0.0,0.5,0.0,7.209183673469388
2019,RA Jadeja,6.351851851851852,343,54.0,324,15,0.25,0.043478260869565216,0.0,130,0.1875,0.16666666666666666,0.0,0.0,0.4,8.75229357798165
2019,Rashid Khan,6.380165289256198,386,60.5,363,17,0.375,0.13043478260869565,0.0,170,0.1875,0.8333333333333334,0.0,0.0,0.2,5.335051546391752
2009,SL Malinga,6.383838383838384,316,49.5,297,18,0.175,0.6739130434782609,0.36363636363636365,179,0.5625,0.3333333333333333,0.0,0.0,0.0,7.020408163265306
2013,A Mishra,6.387096774193548,396,62.0,372,21,0.4,0.08695652173913043,0.18181818181818182,154,0.125,0.8333333333333334,0.0,0.25,0.6,9.12
2021,Ravi Bishnoi,6.388888888888889,230,36.0,216,12,0.175,0.10869565217391304,0.0,91,0.3125,0.0,0.0,0.0,0.0,8.5
2021,MM Ali,6.394736842105264,162,25.333333333333332,152,6,0.2,0.043478260869565216,0.09090909090909091,52,0.0625,0.16666666666666666,0.0,0.25,0.0,6.62937062937063
2008,SC Ganguly,6.4,128,20.0,120,6,0.125,0.021739130434782608,0.0,51,0.1875,0.0,0.0,0.0,0.0,
2021,NM Coulter-Nile,6.4,128,20.0,120,7,0.05,0.021739130434782608,0.09090909090909091,54,0.1875,0.16666666666666666,0.0,0.25,0.0,
2020,AR Patel,6.411764705882353,327,51.0,306,9,0.175,0.043478260869565216,0.0,102,0.0625,0.0,0.0,0.0,0.0,6.638297872340425
2013,MM Sharma,6.434210526315789,326,50.666666666666664,304,20,0.175,0.15217391304347827,0.0,169,0.1875,0.5,0.0,0.0,0.0,8.396284829721361
2015,Z Khan,6.455172413793103,156,24.166666666666668,145,7,0.05,0.2391304347826087,0.0,86,0.0,0.16666666666666666,0.0,0.0,0.0,7.7175572519083975
2014,SP Narine,6.461538461538462,420,65.0,390,21,0.325,0.043478260869565216,0.18181818181818182,168,0.625,0.3333333333333333,0.0,0.0,0.6,7.3125
